aalib 1.4rc5-14
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
adwaita-qt 1.3.1-1
alacritty 0.9.0-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
aom 3.1.2-1
arandr 0.1.10-6
archlinux-keyring 20210820-1
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
atool 0.39.0-7
attr 2.5.1-1
audiofile 0.3.6-6
audit 3.0.4-1
autoconf 2.71-1
automake 1.16.4-1
avahi 0.8+20+gd1e71b3-1
awesome-terminal-fonts 1.1.0-4
base 2-2
bash 5.1.008-1
bat 0.18.2-1
bc 1.07.1-4
binutils 2.36.1-3
bison 3.7.6-1
bluez 5.60-1
bluez-libs 5.60-1
bluez-utils 5.60-1
boost-libs 1.76.0-1
brave-bin 1:1.28.106-1
bridge-utils 1.7.1-1
brltty 6.3-4
broot 1.6.3-1
brotli 1.0.9-4
btrfs-progs 5.13.1-1
bubblewrap 0.4.1-2
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.69-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
calcurse 4.7.1-1
cantarell-fonts 1:0.301-1
cdparanoia 10.2-8
celt 0.11.3-4
chromaprint 1.5.0-3
cifs-utils 6.13-2
cmake 3.21.1-1
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.4.0-1
ctpl 0.3.4-4
cups 1:2.3.3op2-3
cups-filters 1.28.9-1
curl 7.78.0-1
dav1d 0.9.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.13-1
dialog 1:1.3_20210621-1
diffutils 3.8-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.85-1
dnssec-anchors 20190629-3
dosfstools 4.2-1
double-conversion 3.1.5-2
dtc 1.6.1-1
dunst 1.6.1-2
e2fsprogs 1.46.3-3
edk2-ovmf 202105-1
efibootmgr 17-2
efivar 37-4
elfutils 0.185-1
enchant 2.3.1-1
exa 0.10.1-1
exfat-utils 1.3.0-2
exo 4.16.2-1
expat 2.4.1-1
faad2 2.10.0-1
fakeroot 1.25.3-2
ffmpeg 2:4.4-4
ffmpegthumbnailer 2.2.2-2
fftw 3.3.9-1
file 5.40-5
filesystem 2021.05.31-1
findutils 4.8.0-1
firefox-developer-edition 92.0b6-1
flac 1.3.3-3
flex 2.6.4-3
fluidsynth 2.2.2-1
fontconfig 2:2.13.94-1
freetype2 2.10.4-1
fribidi 1.0.10-1
fuse-common 3.10.4-1
fuse2 2.9.9-4
fuse3 3.10.4-1
fzf 0.27.2-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcr 3.40.0-1
gdbm 1.20-1
gdk-pixbuf2 2.42.6-2
geany 1.37.1-1
geany-plugins 1.37-3
geoclue 2.5.7-3
geocode-glib 3.26.2-1
gettext 0.21-1
giflib 5.2.1-2
girara 0.3.6-1
git 2.33.0-1
glew 2.2.0-2
glib-networking 1:2.68.1-1
glib2 2.68.4-1
glibc 2.33-5
glibmm 2.66.1-2
glslang 11.5.0-1
glu 9.0.2-1
gmp 6.2.1-1
gnome-disk-utility 40.2-1
gnome-keyring 1:40.0-1
gnome-themes-extra 3.28-2
gnu-free-fonts 20120503-8
gnupg 2.2.29-1
gnutls 3.7.2-2
gobject-introspection-runtime 1.68.0-1
gpgme 1.16.0-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphite 1:1.3.14-1
grep 3.6-1
groff 1.22.4-6
grub 2:2.06-1
gsettings-desktop-schemas 40.0-3
gsm 1.0.19-1
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gst-plugins-good 1.18.4-2
gstreamer 1.18.4-1
gtk-update-icon-cache 1:4.2.1-2
gtk-vnc 1.2.0-1
gtk2 2.24.33-2
gtk3 1:3.24.30-2
gtkmm 1:2.24.5-4
gtkmm3 3.24.5-2
gtksourceview4 4.8.1-1
gtkspell3 3.0.10-2
guile 2.2.7-1
gumbo-parser 0.10.1-2
gvfs 1.48.1-1
gvfs-mtp 1.48.1-1
gzip 1.10-3
harfbuzz 2.9.0-1
harfbuzz-icu 2.9.0-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
htop 3.0.5-1
http-parser 2.9.4-1
hwids 20210613-1
hwloc 2.5.0-1
hyphen 2.8.8-3
iana-etc 20210728-1
icu 69.1-1
ijs 0.35-3
imagemagick 7.1.0.4-2
imlib2 1.7.3-1
intel-ucode 20210608-1
iproute2 5.13.0-1
iptables-nft 1:1.8.7-1
iputils 20210722-1
iso-codes 4.6.0-1
jack2 1.9.19-2
jansson 2.13.1-1
jbig2dec 0.19-1
js78 78.13.0-1
json-c 0.15-1
json-glib 1.6.4-1
jsoncpp 1.9.4-1
kbd 2.4.0-2
keepassxc 2.6.6-1
keyutils 1.6.3-1
kmod 29-1
krb5 1.19.1-1
l-smash 2.14.5-2
lame 3.100-3
laptop-detect 0.16-1
lcms2 2.12-1
ldb 2:2.3.0-1
ldns 1.7.1-2
less 1:590-1
libaio 0.3.112-2
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.5.1-1
libass 0.15.1-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libblockdev 2.25-2
libbluray 1.3.0-1
libbsd 0.11.3-1
libbytesize 2.6-1
libcaca 0.99.beta19-5
libcacard 2.7.0-2
libcanberra 0.30+2+gc0620e4-5
libcap 2.51-1
libcap-ng 0.8.2-3
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
